smiles,mol_weight,NumAr,reagent-info
CC(Cc1cccs1)/N=C1\CCCCCN1,236.13471964,1,CHEMBL3305017
COc1ccc(C2NS(=O)(=O)N=C2N)cc1,241.052112212,1,CHEMBL1587656
c1ccc(CC2=NCCN2)cc1,160.100048384,1,CHEMBL770
c1ccc(CC2=NCCN2)cc1,160.100048384,1,125006
NC(c1ccccc1)[PH](=O)O,171.04491518999998,1,CHEMBL39977
NCCNCc1ccc2ccccc2c1,200.131348512,2,CHEMBL8743
NC(C(=O)O)c1ccc(F)c(Cl)c1,203.014934364,1,CHEMBL203905
CC1(C)OB(C(N)Cc2ccccc2)OC1(C)C,247.174359344,1,CHEMBL4208547
CC(C)c1ccc(C2=NCCN2)cc1,188.131348512,1,CHEMBL13569
CC(C)/N=C(\NC#N)Nc1cccnc1,203.11709541599998,1,CHEMBL87201
CC(C)/N=C(\NC#N)Nc1cccnc1,203.11709541599998,1,26577082
NC[C@H]1CO[C@H](c2ccccc2)CO1,193.11027872,1,CHEMBL3633390
N[C@@H](CC(=O)O)C(=O)NCCc1ccccc1,236.116092372,1,CHEMBL170423
COc1ccc2c(c1)C(N)CCN2,178.110613068,1,CHEMBL4522955
NCC1(Cc2noc(=O)[nH]2)CCCCCC1,225.147726848,1,CHEMBL442646
NC(C(=O)O)c1ccc(CO)c(O)c1,197.068807832,1,CHEMBL4101153
Cc1cccc(C)c1NC(=O)C(C)N,192.126263132,1,CHEMBL1762
NC(=O)c1nnn(Cc2ccc(F)cc2)c1N,235.08693816,2,CHEMBL493634
NC(=O)c1nnn(Cc2ccc(F)cc2)c1N,235.08693816,2,159118
NCc1ccc(OCC2CC2)nc1,178.110613068,1,CHEMBL4542510
NCc1ccc(OCC2CC2)nc1,178.110613068,1,19870489
NC(=O)Cc1ccccc1-c1ccccc1Cl,245.060741684,2,CHEMBL4530906
NCc1cc2ccccc2s1,163.045570288,2,CHEMBL1770735
NCc1cc2ccccc2s1,163.045570288,2,64943
COc1ccc(-c2ccccc2CN)c(OC)c1,243.125928784,2,CHEMBL3485381
COc1ccc(-c2ccccc2CN)c(OC)c1,243.125928784,2,38072885
Cc1cccc(OCC(C)N)c1,165.1153641,1,CHEMBL5028443
COc1ccc(CN)c(OC(F)F)c1.Cl,239.052462744,1,CHEMBL3498008
Cc1ccc(C(=O)SC2=NCCS2)cc1,237.028205972,1,CHEMBL1309303
Cc1ccc(C(=O)SC2=NCCS2)cc1,237.028205972,1,180672
N=C(N)c1cccc(Br)c1,197.979260324,1,CHEMBL3247191
N=C(N)c1cccc(Br)c1,197.979260324,1,1437887
NCC(=O)Nc1nnc(S(N)(=O)=O)s1,236.999031084,1,CHEMBL122756
CCCn1ccc(CN)n1,139.110947416,1,CHEMBL4543793
CCCn1ccc(CN)n1,139.110947416,1,2538047
NCCc1cccc(C(=O)O)c1,165.078978592,1,CHEMBL131236
NCCc1cccc(C(=O)O)c1,165.078978592,1,3591782
N#CC1(C#N)C(C(N)=O)C1c1ccccc1,211.074561908,1,CHEMBL1523076
CC(C)Oc1ccc(CCN)cc1Cl,213.092041812,1,CHEMBL1907233
CC(C)Oc1ccc(CCN)cc1Cl,213.092041812,1,374796
C/N=c1\scc(C)n1/N=C/c1ccc(O)cc1,247.077933036,2,CHEMBL3196123
CCc1nc(CCN)c[nH]1,139.110947416,1,CHEMBL46153
CCc1nc(CCN)c[nH]1,139.110947416,1,29414010
NC1=Nc2ccccc2CC1,146.08439832,1,CHEMBL6656
COCC(N)c1ccccc1,151.099714036,1,CHEMBL4558159
COc1ccc(C(=O)NC2=NCCS2)cc1,236.061948624,1,CHEMBL1536104
COc1ccc(C(=O)NC2=NCCS2)cc1,236.061948624,1,338603
NC(=O)c1ccccc1NCc1ccccc1,226.110613068,2,CHEMBL2152583
NCC1Cc2ccccc2CN1,162.115698448,1,CHEMBL4749860
NC[C@H](CC(=O)O)c1cccc(Cl)c1,213.055656304,1,CHEMBL54347
NC[C@H](CC(=O)O)c1cccc(Cl)c1,213.055656304,1,13823790
NCC#Cc1cnc2ccccc2c1,182.08439832,2,CHEMBL4301469
NC(=O)c1ccc(-n2cnc3ccccc32)cc1,237.090211972,3,CHEMBL345730
NC(=O)c1ccc(-n2cnc3ccccc32)cc1,237.090211972,3,13782573
CCC(N)(CC)c1ccccc1,163.136099544,1,CHEMBL400465
CCC(N)(CC)c1ccccc1,163.136099544,1,5307605
O=C1CSC(Nc2cccc(C(=O)O)c2)=N1,236.025563116,1,CHEMBL1726442
O=C1CSC(Nc2cccc(C(=O)O)c2)=N1,236.025563116,1,1134764
COc1ccc2nc(NC3=NCCC3)sc2c1,247.077933036,2,CHEMBL1612481
Cc1cccc(C[C@H](N)C(=O)O)c1,179.094628656,1,CHEMBL1231013
Cc1cccc(C[C@H](N)C(=O)O)c1,179.094628656,1,1652106
NC1CCc2c(cc(O)c(O)c2F)C1,197.085206844,1,CHEMBL296842
CC(N)C(c1ccccc1)c1ccccc1,211.136099544,2,CHEMBL10621
NC1CCC(N[C@@H]2C[C@@H]2c2ccccc2)CC1,230.17829870399999,1,CHEMBL4115673
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2N)c(=O)n1,242.101504928,1,CHEMBL3244509
NCCc1c[nH]cn1,111.07964728799999,1,CHEMBL90
Cc1[nH]c2c(C(F)(F)F)cccc2c1CCN,242.103083076,2,CHEMBL1624518
Cc1[nH]c2c(C(F)(F)F)cccc2c1CCN,242.103083076,2,129245
Cc1nnc(NC2=NCCCCC2)o1,194.116761068,1,CHEMBL1441518
NC1CCc2cccc(O)c21,149.084063972,1,CHEMBL1189387
N[C@H]1CCc2ccccc2C1,147.104799416,1,CHEMBL1178569
N[C@H]1CCc2ccccc2C1,147.104799416,1,5934789
NCCCSc1ccccn1,168.072119384,1,CHEMBL4517126
NCCCSc1ccccn1,168.072119384,1,19811124
CCN(c1ccccc1)c1nc(N)nc(C#N)n1,240.11234438399998,2,CHEMBL1605676
CCN(c1ccccc1)c1nc(N)nc(C#N)n1,240.11234438399998,2,4708766
NC(=O)c1c(O)cccc1O,153.042593084,1,CHEMBL501393
NC(=O)c1c(O)cccc1O,153.042593084,1,156650
NC(CC(=O)O)Cc1ccccc1,179.094628656,1,CHEMBL26901
Cc1cc(C)cc(OCC(N)C2CC2)c1,205.146664228,1,CHEMBL5028066
NC(=O)C(=O)Nc1nc(-c2ccccc2)cs1,247.041547528,2,CHEMBL16155
NC(=O)C(=O)Nc1nc(-c2ccccc2)cs1,247.041547528,2,2262118
O=C(/N=N/c1ccccc1)c1ccccc1,210.07931294,2,CHEMBL4087777
NC(Cc1ccc(Cl)cc1)C(=O)O,199.04000624,1,CHEMBL1256351
CCCN1c2ccccc2Sc2ccccc21,241.09252048,2,CHEMBL4797915
CC(C)[C@@H](N)C(=O)NCCCc1ccccc1,234.173213324,1,CHEMBL1836832
